"Campaign name","Ad set name","Campaign ID",Placement,"Ad name","Ad set ID","Ad ID",Platform,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result Type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Purchase ROAS (return on ad spend)","CTR (all)","Result rate","Reporting starts","Reporting ends"
"Younger Couples Copy","Younger - Ad Set",120228808077900727,Feed,"Younger Couples – Copy",120228808077940727,120228808078100727,facebook,active,ad,3520,4051,1.15085227,"7-day click, 1-day view or 1-day engaged view","Website purchases",21,40.89142615,1.94721077,2025-08-04,Ongoing,1.74584275,3.40656628,0.51839052,2025-07-20,2025-08-18
"MAY 4th - Optimizing for CPP first try Campaign","MAY 4th - Optimizing for CPP first try Ad Set",120222513854310727,"Facebook Stories","Advantage+ shopping campaign 04/05/2025 Ad",120222513854290727,120222513854300727,facebook,inactive,ad,1872,2422,1.29380342,"7-day click, 1-day view or 1-day engaged view","Website purchases",9,39.2,4.35555556,2025-05-04,Ongoing,0.70994898,3.05532618,0.37159372,2025-07-20,2025-08-18
"Testimonials - Women - What's Your Sticker Winner - Aug 11","Women Quotes",120229146647470727,Feed,Obsessed!!,120229146647460727,120229146647480727,facebook,active,ad,3188,3755,1.17785445,"7-day click, 1-day view or 1-day engaged view","Website purchases",21,38.34,1.82571429,2025-08-11,Ongoing,2.19300991,1.97070573,0.55925433,2025-07-20,2025-08-18
"Women Only – Before/After Singles","Before/After Vin - Singles 1",120227144025840727,Feed,"Before After Vin - Single",120227144025820727,120227144025850727,facebook,inactive,ad,1912,2322,1.21443515,"7-day click","Website purchases",16,37.91047663,2.36940479,2025-07-14,Ongoing,1.2619203,2.97157623,0.68906115,2025-07-20,2025-08-18
"Video - Showcase – Copy 2 - Conversion Value","Video - Showcase – Copy",120228807475450727,Feed,"Showcase - Women 1",120228807586980727,120228807586990727,instagram,active,ad,1744,1939,1.11181193,"7-day click","Website purchases",9,37.46124833,4.16236093,2025-08-04,Ongoing,0.71834232,3.04280557,0.46415678,2025-07-20,2025-08-18
"Video - Showcase – Copy 2","Video - Showcase",120228693643250727,"Instagram Reels","Showcase - Money Can't Buy Happiness Sound",120228693643230727,120228693643240727,instagram,active,ad,3008,3308,1.09973404,"7-day click, 1-day view or 1-day engaged view","Website purchases",14,37.17054864,2.65503919,2025-08-02,Ongoing,1.08419169,1.72309553,0.42321644,2025-07-20,2025-08-18
"Testimonials - Women - What's Your Sticker Winner - Aug 11","Women Quotes – Copy 3",120229146647470727,"Instagram Stories","Wedding Favors",120229146906890727,120229146906900727,instagram,active,ad,2770,3007,1.08555957,"7-day click, 1-day view or 1-day engaged view","Website purchases",10,36.4,3.64,2025-08-11,Ongoing,1.01373626,1.86232125,0.33255737,2025-07-20,2025-08-18
"Advantage+ shopping campaign 04/05/2025 Campaign – Copy 2 Campaign","Advantage+ shopping campaign 04/05/2025 Campaign – Copy 2 Ad Set",120224364862220727,"Instagram Reels","Advantage+ shopping campaign 04/05/2025 Ad",120224364862200727,120224364862210727,instagram,active,ad,2240,3189,1.42366071,"7-day click, 1-day view or 1-day engaged view","Website purchases",16,35.56129148,2.22258072,2025-06-04,Ongoing,2.19395856,3.48071496,0.50172468,2025-07-20,2025-08-18
"Rotating - What's Yours","Rotating Ad Set - 2",120228807785910727,Feed,"What Does Your Bubble",120228807810760727,120228807810750727,facebook,inactive,ad,1602,1933,1.20661673,"7-day click, 1-day view or 1-day engaged view","Website purchases",19,35.33,1.85947368,2025-08-04,Ongoing,1.60798189,3.62131402,0.98292809,2025-07-20,2025-08-18
"Advantage+ shopping campaign 04/05/2025 Campaign – Copy","Advantage+ shopping campaign 04/05/2025 Ad set",120224364675780727,"Facebook Reels","Advantage+ shopping campaign 04/05/2025 Ad",120224364675770727,120224364675790727,facebook,active,ad,3435,3435,1,"7-day click, 1-day view or 1-day engaged view","Website purchases",20,35.20563985,1.76028199,2025-06-04,Ongoing,2.29508682,4.68704512,0.58224163,2025-07-20,2025-08-18
"Carousel - Older","Carousel Older",120226983388070727,"Facebook Reels","Older – Copy",120226983388060727,120226983482060727,facebook,inactive,ad,3184,3341,1.04930905,"7-day click, 1-day view or 1-day engaged view","Website purchases",16,34.92,2.1825,2025-07-11,Ongoing,1.36998855,4.22029333,0.47889853,2025-07-20,2025-08-18
"Rotating - What's Yours","Rotating Ad Set - 1",120228807785910727,Feed,Reviews,120228807785900727,120228807785920727,instagram,active,ad,1318,1506,1.14264036,"7-day click, 1-day view or 1-day engaged view","Website purchases",14,34.70708308,2.47907736,2025-08-04,Ongoing,1.56279339,2.32403718,0.92961487,2025-07-20,2025-08-18
"Sticker Drop","Sticker Drop Set",120228807666290727,Feed,"Classic Couple Images",120228807666300727,120228807666320727,instagram,inactive,ad,1528,1801,1.17866492,"7-day click, 1-day view or 1-day engaged view","Website purchases",4,34.2,8.55,2025-08-04,Ongoing,0.3497076,2.05441421,0.22209883,2025-07-20,2025-08-18
"Testimonials - Women - What's Your Sticker Winner - Aug 11","Women Quotes – Copy 3",120229146647470727,Feed,"Wedding Favors",120229146906890727,120229146906900727,instagram,active,ad,2450,2634,1.07510204,"7-day click, 1-day view or 1-day engaged view","Website purchases",13,33.77,2.59769231,2025-08-11,Ongoing,1.15102162,2.16400911,0.49354594,2025-07-20,2025-08-18
"Advantage+ shopping campaign 04/05/2025 Campaign – Copy","Advantage+ shopping campaign 04/05/2025 Ad set",120228693685570727,"Facebook Stories","Advantage+ shopping campaign 04/05/2025 Ad",120228693685580727,120228693685590727,facebook,active,ad,2384,2609,1.09437919,"7-day click, 1-day view or 1-day engaged view","Website purchases",13,33.65163799,2.58858754,2025-08-02,Ongoing,1.13129709,3.71789958,0.4982752,2025-07-20,2025-08-18
"Married New Copy - What's Your Sticker Campaign","Married New Copy - What's Your Sticker Ad Set",120224401093610727,"Instagram Reels","Advantage+ shopping campaign 04/05/2025 Ad",120224401093590727,120224401093600727,instagram,active,ad,4123,4123,1,"7-day click, 1-day view or 1-day engaged view","Website purchases",24,33.40285894,1.39178579,2025-06-04,Ongoing,2.43991091,4.00194033,0.58210041,2025-07-20,2025-08-18
"Video - Showcase – Copy 2 - Conversion Value","Showcase - 200,000 Stickers - CTA",120228806964790727,Feed,"Showcase Same Winner - CTA",120228807320410727,120228807320400727,instagram,inactive,ad,1301,1427,1.09684858,"7-day click","Website purchases",6,32.96,5.49333333,2025-08-04,Ongoing,0.75667476,1.96215837,0.42046251,2025-07-20,2025-08-18
"Lookalike Purchasers 1%","Lookalike Purchasers 1%",120226861223690727,"Instagram Stories","Before/After Selfies 3 - Copy",120226861223700727,120226861386760727,instagram,active,ad,2562,2676,1.04449649,"7-day click or 1-day view","Website purchases",14,32.81,2.34357143,2025-07-09,Ongoing,1.27583054,2.61584454,0.52316891,2025-07-20,2025-08-18
"Testimonial Men - What's Your Sticker Winner","Men Quotes – Copy",120229144778250727,Feed,"My Girlfriend Loves Ours",120229145304850727,120229145304840727,instagram,active,ad,2307,2418,1.04811443,"7-day click, 1-day view or 1-day engaged view","Website purchases",9,32.53789052,3.61532117,2025-08-11,Ongoing,1.19583659,2.02646816,0.37220844,2025-07-20,2025-08-18
"Showcase Winner Variants - Conversion Value","Video - Diff Background",120228803582570727,Feed,"Showcase Same Winner - Diff Couple 1",120228803798280727,120228803798270727,instagram,not_delivering,ad,1141,1233,1.08063103,"7-day click","Website purchases",6,32.49,5.415,2025-08-04,Ongoing,0.76762081,2.59529603,0.486618,2025-07-20,2025-08-18
Before/After,"Before/After Selfies – Winner Copy",120226508443690727,Feed,"Juicy Dog",120229026027730727,120229026027740727,facebook,inactive,ad,20800,21302,1.02413462,"7-day click or 1-day view","Website purchases",16,32.47,2.029375,2025-08-08,Ongoing,1.68894364,1.09379401,0.07511032,2025-07-20,2025-08-18
"Video - Showcase – Copy 2 - Conversion Value","Showcase - 200,000 Stickers - CTA",120228806964790727,"Instagram Stories","Showcase Same Winner - CTA",120228807320410727,120228807320400727,instagram,inactive,ad,1461,1664,1.13894593,"7-day click","Website purchases",7,32.45,4.63571429,2025-08-04,Ongoing,0.86070878,1.98317308,0.42067308,2025-07-20,2025-08-18
"Who's Your Couple Sticker Numbered Campaign","Who's Your Couple Sticker Numbered Ad Set",120224397505150727,"Instagram Reels","Advantage+ shopping campaign 04/05/2025 Ad",120224397505140727,120224397505160727,instagram,active,ad,2576,3048,1.18322981,"7-day click, 1-day view or 1-day engaged view","Website purchases",11,32.42035663,2.94730515,2025-06-04,Ongoing,1.01386917,3.37926509,0.36089239,2025-07-20,2025-08-18
Before/After,"Before/After Selfies",120226508443690727,Feed,"Before/After Selfies 3",120226537967710727,120226546647540727,instagram,active,ad,3056,3398,1.11191099,"7-day click or 1-day view","Website purchases",25,32.38099292,1.29523972,2025-07-04,Ongoing,4.00543616,1.94231901,0.7357269,2025-07-20,2025-08-18
"Lookalike Purchasers 1%","Lookalike Purchasers 1%",120226861223690727,"Instagram Reels","Advantage+ shopping campaign 04/05/2025 Ad - Copy",120226861223700727,120226861386740727,instagram,active,ad,2816,3028,1.07528409,"7-day click or 1-day view","Website purchases",28,32.34915029,1.1553268,2025-07-09,Ongoing,2.80440133,4.32628798,0.92470277,2025-07-20,2025-08-18
"Women Only – Before/After Singles","Before/After Vin - Singles 1",120227144025840727,"Instagram Stories","Before After Vin - Single",120227144025820727,120227144025850727,instagram,inactive,ad,1584,1907,1.20391414,"7-day click","Website purchases",13,32.10346716,2.46949747,2025-07-14,Ongoing,1.21077265,2.41216571,0.681699,2025-07-20,2025-08-18
"Purchase Campaign - Copy of First Campaign Campaign","Purchase Campaign - Copy of First Campaign Ad Set",120221390516270727,"Instagram Reels","Now its our thing",120221390516240727,120221390516280727,instagram,active,ad,1688,1917,1.13566351,"7-day click, 1-day view or 1-day engaged view","Website purchases",4,32.03234473,8.00808618,2025-04-27,Ongoing,0.37337261,2.97339593,0.20865936,2025-07-20,2025-08-18
"Carousel - Younger - Duos – Copy Conversion Value","Younger Couples",120228107700730727,Feed,"Younger Couples",120228107700720727,120228107700710727,instagram,inactive,ad,2246,2336,1.04007124,"7-day click or 1-day view","Website purchases",16,32.01,2.000625,2025-07-27,Ongoing,1.49453296,3.25342466,0.68493151,2025-07-20,2025-08-18
Before/After,"Before/After Selfies – Copy",120226508443690727,Feed,"Before/After Selfies 3",120228301197000727,120228301197020727,instagram,inactive,ad,3432,3587,1.04516317,"7-day click or 1-day view","Website purchases",7,31.92,4.56,2025-07-29,Ongoing,1.09429825,1.70058545,0.19514915,2025-07-20,2025-08-18
"Advantage+ shopping campaign 04/05/2025 Campaign","Advantage+ shopping campaign 04/05/2025 Ad set",120222571952620727,"Facebook Stories","Advantage+ shopping campaign 04/05/2025 Ad",120222571952610727,120222571952600727,facebook,active,ad,1536,2444,1.59114583,"7-day click, 1-day view or 1-day engaged view","Website purchases",23,31.76321154,1.3810092,2025-05-04,Ongoing,2.1402118,4.41898527,0.9410802,2025-07-20,2025-08-18
"Advantage+ shopping campaign 04/05/2025 Campaign – Copy","Advantage+ shopping campaign 04/05/2025 Ad set",120227748536090727,"Facebook Reels","Advantage+ shopping campaign 04/05/2025 Ad",120227748536100727,120227748536110727,facebook,active,ad,3050,3050,1,"7-day click, 1-day view or 1-day engaged view","Website purchases",10,31.44141781,3.14414178,2025-07-23,Ongoing,1.39624747,4.39344262,0.32786885,2025-07-20,2025-08-18
"Showcase Winner Variants - Conversion Value","Video - Diff Background",120228803582570727,"Instagram Stories","Showcase Same Winner - Diff Couple 1",120228803798280727,120228803798270727,instagram,not_delivering,ad,1412,1575,1.11543909,"7-day click","Website purchases",6,30.98,5.16333333,2025-08-04,Ongoing,0.50516462,1.65079365,0.38095238,2025-07-20,2025-08-18
"Carousel - Younger - Duos","Younger Couples",120226983665860727,"Instagram Reels","Younger Couples",120226983665870727,120226983665890727,instagram,active,ad,3113,3113,1,"7-day click, 1-day view or 1-day engaged view","Website purchases",20,30.63269385,1.53163469,2025-07-11,Ongoing,2.71376721,2.56986829,0.64246707,2025-07-20,2025-08-18
"Testimonials - Women - What's Your Sticker Winner - Aug 11","Women Quotes",120229146647470727,"Instagram Stories",Obsessed!!,120229146647460727,120229146647480727,instagram,active,ad,2100,2388,1.13714286,"7-day click, 1-day view or 1-day engaged view","Website purchases",14,30.39,2.17071429,2025-08-11,Ongoing,1.37051662,2.30318258,0.58626466,2025-07-20,2025-08-18
"Who's Your Couple Sticker Numbered Campaign","Who's Your Couple Sticker Numbered Ad Set",120224397505150727,"Facebook Reels","Advantage+ shopping campaign 04/05/2025 Ad",120224397505140727,120224397505160727,facebook,active,ad,2704,3128,1.15680473,"7-day click, 1-day view or 1-day engaged view","Website purchases",13,30.25033276,2.32694867,2025-06-04,Ongoing,1.28494454,3.48465473,0.41560102,2025-07-20,2025-08-18
"Video - Showcase – Copy 2","Video - Showcase",120228693643250727,"Facebook Reels","Showcase - Money Can't Buy Happiness Sound",120228693643230727,120228693643240727,facebook,active,ad,2256,2699,1.19636525,"7-day click, 1-day view or 1-day engaged view","Website purchases",5,29.40043395,5.88008679,2025-08-02,Ongoing,0.5084959,1.7413857,0.1852538,2025-07-20,2025-08-18
"Rotating - What's Yours","Rotating Ad Set - 1",120228807785910727,"Instagram Stories",Reviews,120228807785900727,120228807785920727,instagram,active,ad,1212,1474,1.21617162,"7-day click, 1-day view or 1-day engaged view","Website purchases",8,28.85588896,3.60698612,2025-08-04,Ongoing,0.82894691,2.71370421,0.54274084,2025-07-20,2025-08-18
"Testimonials - Women - What's Your Sticker Winner - Aug 11","Women Quotes – Copy 3",120229146647470727,Feed,"Wedding Favors",120229146906890727,120229146906900727,facebook,active,ad,2624,2876,1.09603659,"7-day click, 1-day view or 1-day engaged view","Website purchases",5,28.72,5.744,2025-08-11,Ongoing,0.76427577,2.26008345,0.17385257,2025-07-20,2025-08-18
"Women Only – Before/After Singles","Before/After Vin - Singles 2",120227144025840727,Feed,"Before After Vin - Single 2",120227144907110727,120227144907120727,facebook,inactive,ad,1599,1941,1.21388368,"7-day click","Website purchases",4,28.63,7.1575,2025-07-14,Ongoing,0.41774363,2.42143225,0.20607934,2025-07-20,2025-08-18
"Sticker Drop - 2","Sticker Drop Set  - 2",120228807750390727,"Facebook Reels",Women,120228807750380727,120228807750400727,facebook,active,ad,2112,2320,1.09848485,"7-day click, 1-day view or 1-day engaged view",,,28.38,,2025-08-04,Ongoing,,1.29310345,,2025-07-20,2025-08-18
Testimonials,"Testimonials Too Cute",120226545237120727,"Instagram Stories","Testimonials Too Cute",120226545237240727,120226545462230727,instagram,inactive,ad,2652,3172,1.19607843,"7-day click or 1-day view","Website purchases",11,27.70632233,2.51875658,2025-07-04,Ongoing,1.18709368,1.54476671,0.34678436,2025-07-20,2025-08-18
"Women Only – Before/After Duos","Before/After Vin - Duos 3",120227145052470727,Feed,"Before/After Vin - Duos 3 - we're so cute",120227145324010727,120227145323990727,facebook,inactive,ad,1561,1800,1.15310698,"7-day click","Website purchases",9,27.53,3.05888889,2025-07-14,Ongoing,0.97747911,2.38888889,0.5,2025-07-20,2025-08-18
"Video - Showcase – Copy 2 - Conversion Value","Video - Showcase – Copy",120228807475450727,"Facebook Reels","Showcase - Women 1",120228807586980727,120228807586990727,facebook,active,ad,1576,1878,1.19162437,"7-day click","Website purchases",8,27.43091409,3.42886426,2025-08-04,Ongoing,1.63756847,2.60915868,0.42598509,2025-07-20,2025-08-18
"Advantage+ shopping campaign 04/05/2025 Campaign","Advantage+ shopping campaign 04/05/2025 Ad set",120222571952620727,"Facebook Reels","Advantage+ shopping campaign 04/05/2025 Ad",120222571952610727,120222571952600727,facebook,active,ad,2682,2682,1,"7-day click, 1-day view or 1-day engaged view","Website purchases",9,27.23417949,3.02601994,2025-05-04,Ongoing,1.24512655,4.39970172,0.33557047,2025-07-20,2025-08-18
"Women Only","Advantage+ shopping campaign 04/05/2025 Ad set",120226546114560727,Feed,"Advantage+ shopping campaign 04/05/2025 Ad",120226546167530727,120226546167520727,facebook,not_delivering,ad,1944,2010,1.03395062,"7-day click","Website purchases",8,27.12,3.39,2025-07-04,Ongoing,0.81600295,4.17910448,0.39800995,2025-07-20,2025-08-18
"Sticker Drop - 2 – Women Scaling","Sticker Drop Set  - 2",120229036783840727,"Facebook Reels",Women,120229036783850727,120229036783860727,facebook,active,ad,1564,1878,1.20076726,"7-day click, 1-day view or 1-day engaged view","Website purchases",4,26.97200799,6.743002,2025-08-09,Ongoing,0.69442364,1.81043663,0.21299255,2025-07-20,2025-08-18
"Sticker Drop - 2","Sticker Drop Set  - 2",120228807750390727,"Instagram Stories",Women,120228807750380727,120228807750400727,instagram,active,ad,1280,1586,1.2390625,"7-day click, 1-day view or 1-day engaged view","Website purchases",4,26.65,6.6625,2025-08-04,Ongoing,0.63639775,1.45018916,0.25220681,2025-07-20,2025-08-18
"Video - Showcase – Copy 2","Video - Showcase",120228693643250727,"Overlay ads in Reels","Showcase - Money Can't Buy Happiness Sound",120228693643230727,120228693643240727,facebook,active,ad,3328,4734,1.42247596,"7-day click, 1-day view or 1-day engaged view","Website purchases",16,26.23038716,1.6393992,2025-08-02,Ongoing,2.1292099,1.92226447,0.33798057,2025-07-20,2025-08-18
"What's Your Sticker Winner Campaign – Variants - Aug 11","Diff Images, Same Copy - August 11",120229147033560727,"Instagram Stories","3 Diff Images - Juicy Dog/Chiefs",120229147033570727,120229147033580727,instagram,active,ad,1836,1918,1.04466231,"7-day click, 1-day view or 1-day engaged view","Website purchases",23,26.20134304,1.13918883,2025-08-11,Ongoing,2.89183649,2.81543274,1.1991658,2025-07-20,2025-08-18
Before/After,"Before/After People With Pets",120226508443690727,"Instagram Reels","Before/After People With Pets 3",120226537775840727,120226538430010727,instagram,active,ad,3176,3586,1.1290932,"7-day click or 1-day view","Website purchases",14,26,1.85714286,2025-07-04,Ongoing,1.61,2.70496375,0.39040714,2025-07-20,2025-08-18
"Video - Showcase","Video - Showcase",120226982700450727,"Facebook Reels","Showcase - Money Can't Buy Happiness Sound",120226982700440727,120226982700460727,facebook,active,ad,1632,2008,1.23039216,"7-day click, 1-day view or 1-day engaged view","Website purchases",6,24.99,4.165,2025-07-11,Ongoing,0.93917567,1.99203187,0.29880478,2025-07-20,2025-08-18
"Younger Couples Copy","Younger - Ad Set",120228808077900727,"Facebook Reels","Younger Couples – Copy",120228808077940727,120228808078100727,facebook,active,ad,2542,2542,1,"7-day click, 1-day view or 1-day engaged view","Website purchases",11,24.9708709,2.27007917,2025-08-04,Ongoing,1.5974613,2.63571991,0.43273013,2025-07-20,2025-08-18
"Testimonial Men - What's Your Sticker Winner","Men Quotes",120229144778250727,"Instagram Stories","My Girlfriend Is Addicted",120229144778240727,120229144976800727,instagram,active,ad,1714,1831,1.06826138,"7-day click, 1-day view or 1-day engaged view","Website purchases",5,24.36,4.872,2025-08-11,Ongoing,0.613711,1.85690879,0.27307482,2025-07-20,2025-08-18
Before/After,"Before/After Selfies – Winner Copy 2",120226508443690727,"Instagram Stories","Woman Selfie - Dress",120229026291600727,120229026307390727,instagram,inactive,ad,2093,2385,1.13951266,"7-day click or 1-day view","Website purchases",4,24.3,6.075,2025-08-08,Ongoing,0.49218107,1.5932914,0.16771488,2025-07-20,2025-08-18
"MAY 4th - Optimizing for CPP first try Campaign","MAY 4th - Optimizing for CPP first try Ad Set",120222513854310727,"Facebook Reels","Advantage+ shopping campaign 04/05/2025 Ad",120222513854290727,120222513854300727,facebook,inactive,ad,1432,1826,1.27513966,"7-day click, 1-day view or 1-day engaged view","Website purchases",10,24.24,2.424,2025-05-04,Ongoing,1.23349835,1.97152245,0.54764513,2025-07-20,2025-08-18
Before/After,"Before/After Selfies – Winner Copy 2",120226508443690727,Feed,"Dog - 1",120229026291600727,120229026316990727,instagram,active,ad,1532,1738,1.13446475,"7-day click or 1-day view","Website purchases",6,23.91336208,3.98556035,2025-08-08,Ongoing,1.43183547,2.30149597,0.3452244,2025-07-20,2025-08-18
Before/After,"Before/After Selfies – Copy",120226508443690727,Feed,"Before/After Selfies 1",120228301197000727,120228301196990727,instagram,inactive,ad,2232,2413,1.08109319,"7-day click or 1-day view","Website purchases",6,23.81120065,3.96853344,2025-07-29,Ongoing,0.75342694,1.20182346,0.24865313,2025-07-20,2025-08-18
"What's Your Sticker Winner Campaign – Variants - Aug 11","Misc Changed Copy",120229147033560727,"Instagram Stories","Make Yours Today",120229147344600727,120229147344610727,instagram,active,ad,1544,1766,1.14378238,"7-day click, 1-day view or 1-day engaged view","Website purchases",16,23.06,1.44125,2025-08-11,Ongoing,2.98525585,2.3216308,0.90600227,2025-07-20,2025-08-18
Testimonials,"Testimonials Ours Came Out Great",120226545237120727,"Instagram Stories","Testimonials Ours Came Out Great",120226545237250727,120226545385640727,instagram,inactive,ad,1804,2116,1.172949,"7-day click or 1-day view","Website purchases",20,23.05204435,1.15260222,2025-07-04,Ongoing,2.55248511,2.83553875,0.94517958,2025-07-20,2025-08-18
"Advantage+ shopping campaign 04/05/2025 Campaign – Copy","Advantage+ shopping campaign 04/05/2025 Ad set",120228693685570727,"Instagram Reels","Advantage+ shopping campaign 04/05/2025 Ad",120228693685580727,120228693685590727,instagram,active,ad,1968,2105,1.06961382,"7-day click, 1-day view or 1-day engaged view","Website purchases",11,22.71110546,2.06464595,2025-08-02,Ongoing,1.66966773,3.13539192,0.52256532,2025-07-20,2025-08-18
"How would you two look Campaign","How would you two look Ad Set – Conversion Value",120224397505120727,Feed,"How would you two look",120229434649560727,120229434649550727,facebook,active,ad,2937,2960,1.00783112,"7-day click, 1-day view or 1-day engaged view","Website purchases",21,22.68560866,1.08026708,2025-08-16,Ongoing,4.04617753,3.58108108,0.70945946,2025-07-20,2025-08-18
"Testimonials - Women - What's Your Sticker Winner - Aug 11","Women Quotes",120229146647470727,Feed,Obsessed!!,120229146647460727,120229146647480727,instagram,active,ad,1570,1652,1.0522293,"7-day click, 1-day view or 1-day engaged view","Website purchases",12,22.6,1.88333333,2025-08-11,Ongoing,2.10929204,2.17917676,0.72639225,2025-07-20,2025-08-18
"Video - Showcase – Copy 2 - Conversion Value","Video - Showcase",120228807867650727,Feed,"Showcase - Gradient",120228807867640727,120228807867630727,facebook,inactive,ad,884,1137,1.2861991,"7-day click or 1-day view","Website purchases",3,22.15164247,7.38388082,2025-08-04,Ongoing,0.40493611,2.02286719,0.26385224,2025-07-20,2025-08-18
"Video - Showcase – Copy 2 - Conversion Value","Showcase - #1 Couple Sticker - CTA",120228806964790727,Feed,"Showcase Same Winner - CTA",120228806964800727,120228807182070727,instagram,inactive,ad,819,866,1.05738706,"7-day click","Website purchases",8,22.1,2.7625,2025-08-04,Ongoing,1.39909502,3.926097,0.92378753,2025-07-20,2025-08-18
"Women Only – Before/After Duos","Before/After Vin - Duos 3",120227145052470727,Feed,"Before/After Vin - Duos 3 – is that us?",120227145324010727,120227145643620727,facebook,inactive,ad,1415,1738,1.22826855,"7-day click","Website purchases",4,21.92,5.48,2025-07-14,Ongoing,0.54562044,1.55350978,0.2301496,2025-07-20,2025-08-18
"Who's Your Couple Sticker Numbered Campaign","Who's Your Couple Sticker Numbered Ad Set",120224397505150727,"Facebook Stories","Advantage+ shopping campaign 04/05/2025 Ad",120224397505140727,120224397505160727,facebook,active,ad,1760,1925,1.09375,"7-day click, 1-day view or 1-day engaged view","Website purchases",15,21.61023772,1.44068251,2025-06-04,Ongoing,2.7232463,2.90909091,0.77922078,2025-07-20,2025-08-18
"Advantage+ shopping campaign 04/05/2025 Campaign – Copy","Advantage+ shopping campaign 04/05/2025 Ad set",120224364675780727,"Facebook Stories","Advantage+ shopping campaign 04/05/2025 Ad",120224364675770727,120224364675790727,facebook,active,ad,1184,1543,1.30320946,"7-day click, 1-day view or 1-day engaged view","Website purchases",7,21.55733017,3.0796186,2025-06-04,Ongoing,0.97089945,4.73104342,0.4536617,2025-07-20,2025-08-18
"Testimonial Men - What's Your Sticker Winner","Men Quotes – Copy 2",120229144778250727,Feed,"Anniversary Gift",120229145308170727,120229145308140727,instagram,active,ad,1096,1164,1.0620438,"7-day click, 1-day view or 1-day engaged view","Website purchases",17,21.50190891,1.26481817,2025-08-11,Ongoing,3.43364863,2.40549828,1.4604811,2025-07-20,2025-08-18
Before/After,"Before/After Selfies – Winner Copy",120226508443690727,Feed,"Juicy Dog  – Diff Settings",120229026027730727,120229026220130727,instagram,not_delivering,ad,1492,1699,1.13873995,"7-day click or 1-day view","Website purchases",4,21.43113911,5.35778478,2025-08-08,Ongoing,0.55806646,1.35373749,0.23543261,2025-07-20,2025-08-18
"4/27 - Purchase Optimized Advantage+ shopping campaign 27/04/2025 Campaign","4/27 - Purchase Optimized Advantage+ shopping campaign 27/04/2025 Ad Set",120221392651830727,"Facebook Reels","Advantage+ shopping campaign 27/04/2025 Ad – Copy 2",120221392651850727,120221396812650727,facebook,active,ad,1648,1807,1.09648058,"7-day click, 1-day view or 1-day engaged view","Website purchases",9,21.39029429,2.37669937,2025-04-27,Ongoing,1.25804721,3.5971223,0.49806309,2025-07-20,2025-08-18
"What's Your Sticker Winner Campaign – Variants - Aug 11","Misc Changed Copy",120229147033560727,Feed,"PSST. your other half",120229147344600727,120229147344590727,facebook,active,ad,1695,1805,1.06489676,"7-day click, 1-day view or 1-day engaged view","Website purchases",8,21.27,2.65875,2025-08-11,Ongoing,1.78279267,1.82825485,0.4432133,2025-07-20,2025-08-18
"What's Your Sticker Winner Campaign – Variants - Aug 11","Misc Changed Copy",120229147033560727,Feed,"Make Yours Today",120229147344600727,120229147344610727,instagram,active,ad,1208,1299,1.07533113,"7-day click, 1-day view or 1-day engaged view","Website purchases",8,21.13,2.64125,2025-08-11,Ongoing,1.79460483,2.23248653,0.61585835,2025-07-20,2025-08-18
"Before/After 2","Before/After 2 Kids",120226766032730727,Feed,"Before/After Kids 1",120226766032860727,120226766032750727,facebook,active,ad,2800,3452,1.23285714,"7-day click","Website purchases",9,20.47769299,2.27529922,2025-07-08,Ongoing,1.2174223,1.6801854,0.26071842,2025-07-20,2025-08-18
"Advantage+ shopping campaign 04/05/2025 Campaign – Copy","Advantage+ shopping campaign 04/05/2025 Ad set",120224364675780727,"Instagram Reels","Advantage+ shopping campaign 04/05/2025 Ad",120224364675770727,120224364675790727,instagram,active,ad,1664,1864,1.12019231,"7-day click, 1-day view or 1-day engaged view","Website purchases",2,20.30748496,10.15374248,2025-06-04,Ongoing,0.2944727,3.80901288,0.10729614,2025-07-20,2025-08-18
"Women Only – Before/After Singles","Before/After Vin - Singles 1",120227144025840727,Feed,"Before After Vin - Single",120227144025820727,120227144025850727,instagram,inactive,ad,763,911,1.19397117,"7-day click","Website purchases",24,20.28955116,0.84539797,2025-07-14,Ongoing,3.47715923,3.40285401,2.63446762,2025-07-20,2025-08-18
"Women Only – Before/After Singles","Before/After Vin - Singles 3",120227144025840727,Feed,"Before After Vin - Single 3",120227144953350727,120227144953340727,instagram,not_delivering,ad,622,790,1.27009646,"7-day click","Website purchases",10,19.69,1.969,2025-07-14,Ongoing,1.51853733,4.43037975,1.26582278,2025-07-20,2025-08-18
"Showcase Winner Variants - Conversion Value","Video - Diff Background",120228803582570727,"Instagram Stories","Showcase Same Winner - Diff Couple 2",120228803798280727,120228806890680727,instagram,inactive,ad,840,929,1.10595238,"7-day click","Website purchases",4,19.68,4.92,2025-08-04,Ongoing,0.60772358,2.0452099,0.43057051,2025-07-20,2025-08-18
"Sticker Drop","Sticker Drop Set",120228807666290727,"Facebook Reels","Classic Couple Images",120228807666300727,120228807666320727,facebook,inactive,ad,1352,1585,1.17233728,"7-day click, 1-day view or 1-day engaged view","Website purchases",5,19.46,3.892,2025-08-04,Ongoing,0.76824255,1.829653,0.31545741,2025-07-20,2025-08-18
